Nutrient,Min_Label_Claim,Max_Label_Claim,Pred_Intercept,Pred_Linear_Coeff,Pred_Quadratic_Coeff,Unit,Age_Group
Calcium,25.0,512,41.1226,0.2589,0.0,mg,Adult
Iron,0.8,25,4.5842,0.4283,0.0,mg,Adult
Magnesium,10.0,500,8.4428,0.8054,0.0,mg,Adult
Vitamin C,25.0,1000,20.4201,0.8285,0.0,mg,Adult
Zinc,2.0,30,11.0423,0.5722,0.0,mg,Adult
Folic Acid,12.5,1000,13.1726,1.2023,0.0,µg,Adult
Vitamin B-12,2.0,800,1.7194,0.4923,0.0,µg,Adult
Vitamin D,100.0,4000,6.9141,0.8622,0.0,IU,Adult
Vitamin A,1000.0,20000,198.0241,0.4579,0.0,IU,Adult
Vitamin E,3.0,200,5.1473,0.7131,0.0,mg,Adult
Riboflavin,0.2,80,18.889,0.5415,0.0,µg,Adult
Vitamin B-6,1.0,150,4.7329,0.7612,0.0,mg,Adult
Iodine,12.8,150,14.0747,0.7475,0.0,µg,Adult
ALA,200.0,7000,8.6519,0.9165,0.0,mg,Adult
Calcium,25.0,400,14.2327,0.6346,0.0,mg,Children
Iron,1.0,20,3.2728,0.5587,0.0,mg,Children
Magnesium,5.0,200,6.1098,0.7574,0.0,mg,Children
Vitamin C,20.0,400,16.2536,0.8429,0.0,mg,Children
Zinc,1.0,15,8.7272,0.5942,0.0,mg,Children
Folic Acid,10.0,400,14.2058,1.1554,0.0,µg,Children
Vitamin B-12,1.0,100,1.0811,0.4518,0.0,µg,Children
Vitamin D,100.0,1600,3.5073,0.9453,0.0,IU,Children
Vitamin A,500.0,10000,119.2959,0.5195,0.0,IU,Children
Vitamin E,2.0,50,3.1218,0.7152,0.0,mg,Children
Riboflavin,0.1,5,9.1325,0.5598,0.0,µg,Children
Vitamin B-6,0.5,10,3.3849,0.6815,0.0,mg,Children
Iodine,10.0,150,11.6429,0.6914,0.0,µg,Children
ALA,100.0,2000,7.1104,0.8912,0.0,mg,Children
